DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 0, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
  ... Passed --   3.1  3  238   29040    0
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 0, vf: 0}
Test (2A): election after network failure ...
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 0, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 0, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 0, vf: 0}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
disconnecting 1
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 1, vf: 1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 1, vf: 1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
reconnecting 1
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
disabling quorium
disconnecting 0
disconnecting 1
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 2, vf: 1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 3, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 0, ct: 2, vf: 0}
DEBUG tick {me: 2, st: CANDIDATE, hb: 0, ct: 3, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 4, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 5, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 4, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 6, vf: -1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 2, st: CANDIDATE, hb: 0, ct: 5, vf: 2}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 6, vf: -1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 7, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
checked there is no leader
enabling quorium
reconnecting 1
checking there is one leader
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 8, vf: -1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 6, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 8, vf: -1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 1}
DEBUG tick {me: 1, st: LEADER, hb: 1, ct: 9, vf: 1}
